"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
470,"Gute Freunde","SWR","13.5.2001","Odenthal und Kopper",22,"Harald Göckeritz","Martin Gies",""
471,"Totenmesse","MDR","20.5.2001","Ehrlicher und Kain",26,"Pim Richter, Andreas Pflüger","Thomas Freundner",""
472,"Kindstod","WDR","17.6.2001","Ballauf und Schenk",17,"Edgar von Cossart","Claudia Garde","Deutscher Fernsehpreis 2001 (Beste Schauspielerin Nebenrolle) an Anna Thalbach. Goldener Gong an die Produzentin Sonja Goslicki"
473,"Der lange Arm des Zufalls","SFB","08.7.2001","Ritter und Stark",8,"Lienhard Wawrzyn","Ralph Bohn",""
474,"Fette Krieger","SWR","15.7.2001","Odenthal und Kopper",23,"Dominik Reding, nach einer Vorlage von Peter Lennartz","Dominik Reding",""
475,"Böses Blut","ORF","22.7.2001","Eisner",6,"Felix Mitterer","Peter Sämann","Erstausstrahlung am 16. Dezember 2000 auf ORF 2. Erst nach der Erstausstrahlung zum Tatort umgewidmet."
476,"Tot bist Du!","SFB","05.8.2001","Ritter und Stark",9,"Daniela Mohr","Diethard Küster",""
477,"Verhängnisvolle Begierde","MDR","26.8.2001","Ehrlicher und Kain",27,"Pim Richter","Michael Lähn",""
478,"Du hast keine Chance","SR","02.9.2001","Palu",12,"Felix Huby","Hartmut Griesmayr",""
479,"Bienzle und der Todesschrei","SWR","09.9.2001","Bienzle",14,"Hartmut Griesmayr","Hartmut Griesmayr",""
480,"Havarie","HR","16.9.2001","Brinkmann",28,"Sylvia Hoffman","Sylvia Hoffman","Letzter Fall dieses Ermittlers."
481,"Zielscheibe","SR","14.10.2001","Palu",13,"Peter Zingler","Robert Sigl",""
482,"Kalte Wut","Radio Bremen","21.10.2001","Lürsen",5,"Thorsten Näter","Thorsten Näter",""
483,"Exil!","NDR","28.10.2001","Casstorff und Holicek",1,"Thomas Bohn, nach einer Vorlage von Chris Brohm","Thomas Bohn",""
484,"Im freien Fall","BR","04.11.2001","Batic und Leitmayr",29,"Alexander Adolph","Jobst Oetzmann","Adolf-Grimme-Preis 2002"
485,"Eine unscheinbare Frau","Radio Bremen","11.11.2001","Lürsen und Stedefreund",6,"Jochen Greve","Martin Gies",""
486,"Hasard!","NDR","18.11.2001","Casstorff und Holicek",2,"Thomas Bohn","Thomas Bohn",""
